Model Name,Metric Name,Average Value,Depth Values,Inference Time
Earthformer,MSE,4.161059405305423e-05,"[[[1.3423745258478448e-05, 3.82848629669752e-05, 7.75961161707528e-05, 9.360713738715276e-05, 9.767476876731962e-05, 0.00012046927440678701, 0.00012014178355457261, 2.45320607064059e-05, 1.15571037895279e-05, 5.044775207352359e-06, 3.1841132113186177e-06, 2.997872798005119e-06, 4.611279109667521e-06, 4.773211003339384e-06, 6.260779628064483e-06]]]",0.05264383259927854
Earthformer,RMSE,0.00525781512260437,"[[[0.003639836562797427, 0.006077189464122057, 0.00866417121142149, 0.009548348374664783, 0.009715761989355087, 0.010453383438289165, 0.010320067405700684, 0.004748233128339052, 0.003281721379607916, 0.0021960961166769266, 0.0017743560019880533, 0.0017303862841799855, 0.0020856924820691347, 0.0021546599455177784, 0.00247732806019485]]]",0.05264383259927854
Earthformer,MaxError,0.17505496740341187,"[[[0.030252933502197266, 0.08703607320785522, 0.09208905696868896, 0.11795699596405029, 0.06607472896575928, 0.11238229274749756, 0.17505496740341187, 0.046892404556274414, 0.09976929426193237, 0.04474377632141113, 0.11737060546875, 0.05289137363433838, 0.05020436644554138, 0.1140323281288147, 0.05953925848007202]]]",0.05264383259927854
Earthformer,NRMSE,0.008478443138301373,"[[[0.006141703110188246, 0.010098201222717762, 0.013157672248780727, 0.01589926704764366, 0.01549402717500925, 0.013984981924295425, 0.013589846901595592, 0.006246667820960283, 0.004515942186117172, 0.0030252221040427685, 0.0024440267588943243, 0.002374742180109024, 0.005942702759057283, 0.006787898950278759, 0.007473737001419067]]]",0.05264383259927854
Earthformer,R2,0.9987512826919556,"[[[0.9995156526565552, 0.998661994934082, 0.9977376461029053, 0.9967224597930908, 0.9968612194061279, 0.9972816109657288, 0.997370719909668, 0.9994619488716125, 0.9997225999832153, 0.9998786449432373, 0.9999234080314636, 0.9999284148216248, 0.9995254278182983, 0.9993996024131775, 0.9992778301239014]]]",0.05264383259927854
UNET,MSE,4.151097891735844e-05,"[[[1.3156087334209587e-05, 3.5472239687805995e-05, 7.517063932027668e-05, 9.213462908519432e-05, 7.674154039705172e-05, 0.00011884911509696394, 0.00011378390627214685, 3.270506203989498e-05, 1.4152752555673942e-05, 8.740466000745073e-06, 6.685293556074612e-06, 7.541173090430675e-06, 9.72773977991892e-06, 1.146225713455351e-05, 6.341716471069958e-06]]]",0.02031075511826202
UNET,RMSE,0.0055219680070877075,"[[[0.0036111362278461456, 0.005851277150213718, 0.008523908443748951, 0.009471049532294273, 0.008563829585909843, 0.010357990860939026, 0.009963886812329292, 0.005550341680645943, 0.0037016896530985832, 0.002943893661722541, 0.002573977457359433, 0.0027424138970673084, 0.0030929455533623695, 0.0033701350912451744, 0.0025110498536378145]]]",0.02031075511826202
UNET,MaxError,0.1094890832901001,"[[[0.03724318742752075, 0.06105738878250122, 0.10054004192352295, 0.06889832019805908, 0.07054191827774048, 0.0825040340423584, 0.1094890832901001, 0.05338752269744873, 0.043347179889678955, 0.029889941215515137, 0.031077861785888672, 0.030313968658447266, 0.031461626291275024, 0.02942672371864319, 0.028549224138259888]]]",0.02031075511826202
UNET,NRMSE,0.00906215887516737,"[[[0.006093404721468687, 0.009723350405693054, 0.012943223118782043, 0.01577627658843994, 0.013658971525728703, 0.01385608408600092, 0.013119110837578773, 0.007301629986613989, 0.005093089304864407, 0.004054981283843517, 0.0035453462041914463, 0.0037636440247297287, 0.00881131086498499, 0.010616738349199295, 0.0075752330012619495]]]",0.02031075511826202
UNET,R2,0.9986964464187622,"[[[0.999525249004364, 0.9987602233886719, 0.9978089928627014, 0.9967713952064514, 0.9975330233573914, 0.9973180890083313, 0.9975106716156006, 0.9992828369140625, 0.999660313129425, 0.9997897148132324, 0.9998391270637512, 0.9998199343681335, 0.9989994764328003, 0.9985586404800415, 0.999268651008606]]]",0.02031075511826202
MLPE,MSE,0.00012903098831884563,"[[[4.600625470629893e-05, 8.546536264475435e-05, 0.0001765292981872335, 0.00015833954967092723, 0.0001623120333533734, 0.0003636108012869954, 0.000349988229572773, 0.00016887088713701814, 0.00010518601629883051, 0.00010178660158999264, 0.00010045651288237423, 0.00010167441359953955, 5.954130301688565e-06, 4.909109065920347e-06, 4.375413936941186e-06]]]",0.018029003718402235
MLPE,RMSE,0.01009113248437643,"[[[0.006769715342670679, 0.009188761003315449, 0.013200425542891026, 0.012472545728087425, 0.01261212956160307, 0.01863921247422695, 0.018375452607870102, 0.01297732349485159, 0.01024310477077961, 0.01008354127407074, 0.010020733810961246, 0.010082359425723553, 0.002424050122499466, 0.002197806490585208, 0.0020798214245587587]]]",0.018029003718402235
MLPE,MaxError,0.1340566873550415,"[[[0.035770297050476074, 0.07343637943267822, 0.07732480764389038, 0.07465296983718872, 0.07303380966186523, 0.10523355007171631, 0.1340566873550415, 0.06525081396102905, 0.03280520439147949, 0.02598881721496582, 0.0207025408744812, 0.017980575561523438, 0.018995434045791626, 0.025466948747634888, 0.018373697996139526]]]",0.018029003718402235
MLPE,NRMSE,0.015303528867661953,"[[[0.011422867886722088, 0.015268838033080101, 0.020042872056365013, 0.02077338844537735, 0.020114971324801445, 0.024937430396676064, 0.024202801287174225, 0.01706887036561966, 0.0140902204439044, 0.013888456858694553, 0.013801958411931992, 0.013836771249771118, 0.006905518472194672, 0.006923616398125887, 0.006274343002587557]]]",0.018029003718402235
MLPE,R2,0.9965543746948242,"[[[0.9983403086662292, 0.9970129728317261, 0.9948551654815674, 0.9944535493850708, 0.9947823286056519, 0.991787314414978, 0.9923301339149475, 0.9962989687919617, 0.9974777698516846, 0.9975526332855225, 0.9975845217704773, 0.9975728392601013, 0.9993876218795776, 0.9993826746940613, 0.999495267868042]]]",0.018029003718402235
AT_GRU,MSE,0.0070986500941216946,"[[[0.006555250845849514, 0.007089057005941868, 0.007965629920363426, 0.007837534882128239, 0.007860755547881126, 0.00791607890278101, 0.007672662381082773, 0.0070166983641684055, 0.006745489314198494, 0.006776782218366861, 0.00667199119925499, 0.006611619610339403, 0.006629005540162325, 0.00654896954074502, 0.006582224275916815]]]",0.017798904918599874
AT_GRU,RMSE,0.0841875821352005,"[[[0.08096443116664886, 0.08419293910264969, 0.08923816680908203, 0.08852339535951614, 0.08865796029567719, 0.08895965665578842, 0.08759097754955292, 0.08376511186361313, 0.0821305438876152, 0.08232111483812332, 0.0816822350025177, 0.08131185173988342, 0.08141866326332092, 0.08092568069696426, 0.08113089203834534]]]",0.017798904918599874
AT_GRU,MaxError,0.3903121054172516,"[[[0.3330724835395813, 0.3630509078502655, 0.35713136196136475, 0.3903121054172516, 0.36819523572921753, 0.3685571551322937, 0.36779677867889404, 0.3466472625732422, 0.38301897048950195, 0.3246672749519348, 0.32764947414398193, 0.3379595875740051, 0.3163544833660126, 0.3112300634384155, 0.3437901735305786]]]",0.017798904918599874
AT_GRU,NRMSE,0.14851489663124084,"[[[0.1366184800863266, 0.13991069793701172, 0.13551568984985352, 0.14747178554534912, 0.14142797887325287, 0.11912091076374054, 0.11541947722434998, 0.11017951369285583, 0.11298306286334991, 0.11338608711957932, 0.11250493675470352, 0.11159065365791321, 0.23192839324474335, 0.2549203336238861, 0.24474522471427917]]]",0.017798904918599874
AT_GRU,R2,0.6897784471511841,"[[[0.7634888887405396, 0.7521603107452393, 0.7676858305931091, 0.725144624710083, 0.7470356822013855, 0.8204694986343384, 0.8314706087112427, 0.8461946845054626, 0.8382253646850586, 0.8370503783226013, 0.8395688533782959, 0.8421642780303955, 0.3184170722961426, 0.17663253843784332, 0.24096816778182983]]]",0.017798904918599874
