Model Name,Metric Name,Average Value,Depth Values,Inference Time
UNET,NRMSE,0.013755923137068748,"[[[0.008285981602966785, 0.016196539625525475, 0.021799815818667412, 0.027378644794225693, 0.020181402564048767, 0.012067854404449463, 0.00962182879447937, 0.007624974008649588, 0.006467777770012617, 0.005515091121196747, 0.004923401866108179, 0.004177647642791271, 0.019881047308444977, 0.023116281256079674, 0.019100559875369072]]]",0.020467351840343328
UNET,R2,0.9990056157112122,"[[[0.9997265338897705, 0.9989350438117981, 0.9980948567390442, 0.9969268441200256, 0.9982921481132507, 0.999400794506073, 0.9996137619018555, 0.9997648596763611, 0.9998311996459961, 0.9998800158500671, 0.9999048113822937, 0.9999313354492188, 0.9984171986579895, 0.9978318810462952, 0.9985320568084717]]]",0.020467351840343328
MLPE,MSE,0.010683837346732616,"[[[0.004791215527802706, 0.006365334615111351, 0.012584649957716465, 0.007983618415892124, 0.007916864939033985, 0.018412861973047256, 0.019793199375271797, 0.019930226728320122, 0.01544297207146883, 0.015283931978046894, 0.015374423936009407, 0.01572285033762455, 0.00027149388915859163, 0.00018598460883367807, 0.0001979377120733261]]]",0.011667830760125071
MLPE,RMSE,0.09317318350076675,"[[[0.06915690749883652, 0.07952599972486496, 0.1118471696972847, 0.08926335722208023, 0.08892472833395004, 0.135685995221138, 0.14068683981895447, 0.14117282629013062, 0.12426671385765076, 0.12362753599882126, 0.12399346381425858, 0.12539036571979523, 0.01644030213356018, 0.013585172593593597, 0.014030537568032742]]]",0.011667830760125071
MLPE,MaxError,0.3173699676990509,"[[[0.13572078943252563, 0.21348443627357483, 0.3173699676990509, 0.2304333746433258, 0.225568950176239, 0.25088804960250854, 0.24056798219680786, 0.2217618227005005, 0.17929476499557495, 0.19139939546585083, 0.17526358366012573, 0.17244094610214233, 0.06273460388183594, 0.053869813680648804, 0.0650063157081604]]]",0.011667830760125071
MLPE,NRMSE,0.1612057089805603,"[[[0.1358203887939453, 0.1536567509174347, 0.1972813904285431, 0.1724085807800293, 0.1647794544696808, 0.21199028193950653, 0.21649901568889618, 0.21635378897190094, 0.19897912442684174, 0.19820977747440338, 0.19876807928085327, 0.2002311646938324, 0.054340146481990814, 0.04964222013950348, 0.049125466495752335]]]",0.011667830760125071
MLPE,R2,0.884666919708252,"[[[0.927842378616333, 0.907466471195221, 0.8479411602020264, 0.8842957615852356, 0.8940165042877197, 0.8244705200195312, 0.8168916702270508, 0.8171055316925049, 0.8452851176261902, 0.8464769721031189, 0.8456072807312012, 0.8433242440223694, 0.9884288311004639, 0.9903181195259094, 0.9905329942703247]]]",0.011667830760125071
AT_GRU,MSE,0.00687439227476716,"[[[0.0063058724626898766, 0.007149111945182085, 0.00927939172834158, 0.009091710671782494, 0.008160973899066448, 0.007158887106925249, 0.00661754235625267, 0.006196973379701376, 0.005986709613353014, 0.0062134419567883015, 0.005965226795524359, 0.005804865621030331, 0.006403210572898388, 0.006464049220085144, 0.006317922845482826]]]",0.01781506828032434
AT_GRU,RMSE,0.08266719430685043,"[[[0.07940500229597092, 0.0845496654510498, 0.09622969478368759, 0.09529929608106613, 0.09032488614320755, 0.08460690081119537, 0.08134712278842926, 0.07872060686349869, 0.07737377285957336, 0.07882535457611084, 0.07723485678434372, 0.07618965208530426, 0.08001869171857834, 0.08039822429418564, 0.0794842392206192]]]",0.01781506828032434
AT_GRU,MaxError,0.47090157866477966,"[[[0.38164418935775757, 0.3751946687698364, 0.4195936322212219, 0.47090157866477966, 0.42636173963546753, 0.35335612297058105, 0.3217739462852478, 0.3552076518535614, 0.3011089563369751, 0.32368695735931396, 0.37026411294937134, 0.33238714933395386, 0.38945767283439636, 0.37417858839035034, 0.35072991251945496]]]",0.01781506828032434
AT_GRU,NRMSE,0.17008532583713531,"[[[0.1559876650571823, 0.1634988933801651, 0.16980476677417755, 0.1840907633304596, 0.1673908829689026, 0.1321885734796524, 0.12518310546875, 0.12064366787672043, 0.12389406561851501, 0.12637950479984283, 0.12381160259246826, 0.12166450172662735, 0.2645311951637268, 0.2938566207885742, 0.2783539891242981]]]",0.01781506828032434
AT_GRU,R2,0.8738909363746643,"[[[0.9049327373504639, 0.8957313299179077, 0.887692391872406, 0.8681617379188538, 0.8907021880149841, 0.9317498803138733, 0.9387800097465515, 0.943130612373352, 0.9400202035903931, 0.9375870823860168, 0.9400960206985474, 0.9421551823616028, 0.7268940806388855, 0.6631504893302917, 0.6975809931755066]]]",0.01781506828032434
